" NASHVILLE",720  HART AVE,80000
" NASHVILLE",411  HART AVE,53000
" NASHVILLE",907  CHICAMAUGA AVE,92500
" NASHVILLE",4215  HARDING PIKE,88000
" NASHVILLE",4225 HARDING  PIKE,80200
" NASHVILLE",309  CHAMBERLIN ST,74930
" ANTIOCH",305  PADDINGTON CT,90500
" ANTIOCH",909  FERNHURST CT,30000
" ANTIOCH",916  FERNHURST CT,30000
" ANTIOCH",912  FERNHURST CT,30000
" ANTIOCH",6456  PADDINGTON WAY,37000
" ANTIOCH",6452  PADDINGTON WAY,30000
" ANTIOCH",6448  PADDINGTON WAY,30000
" ANTIOCH",6437  PADDINGTON WAY,37500
" ANTIOCH",6441  PADDINGTON WAY,37500
" ANTIOCH",7556  W WINCHESTER DR,85000
" ANTIOCH",7545  W WINCHESTER DR,86000
" ANTIOCH",1025  WINDSOR BROOK PL,81000
" NASHVILLE",8321  COLLINS RD,30000
" NASHVILLE",7125  NATCHEZ POINTE PL,100000
" NASHVILLE",7232  NATCHEZ POINTE DR,97000
" NASHVILLE",7216  NATCHEZ POINTE DR,97000
" NASHVILLE",7208  NATCHEZ POINTE DR,97000
" NASHVILLE",7105  NATCHEZ POINTE PL,100000
" NASHVILLE",7020  NATCHEZ POINTE BLVD,97000
" NASHVILLE",0  MOSS RD,80000
" MADISON",705  HERITAGE SQUARE DR,83000
" MADISON",709  HERITAGE SQUARE DR,98900
" MADISON",307  HERITAGE CT,96000
" MADISON",505  HERITAGE LN,95000
" MADISON",875  HERITAGE CIR,66500
" MADISON",808  HERITAGE CIR,87900
" MADISON",860 HERITAGE  CIR,78000
" MADISON",1401  SIXPENCE PL,98500
" MADISON",1501  TRADITION CT,94000
" MADISON",1508  TRADITION CT,100000
" MADISON",585  HERITAGE LN,51200
" MADISON",736  HERITAGE DR,82000
" MADISON",338  NESBITT LN,63075
" MADISON",330  NESBITT LN,60000
" MADISON",300 NESBITT  LN,89500
" MADISON",244  NESBITT LN,55000
" MADISON",917  HERITAGE VIEW CT,97900
" MADISON",1640  LIBERTY HILL DR,100000
" MADISON",908  WESTCHESTER DR,80000
" MADISON",1009  WESTCHESTER DR,81500
" MADISON",314  KEMPER DR S,90000
" MADISON",923  WESTCHESTER DR,66000
" MADISON",100  RHINE DR,70000
" MADISON",606  N GRAYCROFT AVE,57500
" MADISON",601  OLD HICKORY BLVD,99611
" MADISON",541  OLD HICKORY BLVD,80000
" MADISON",1001  HERITAGE DR,79900
" MADISON",1008  HERITAGE DR,73000
" MADISON",1012  HERITAGE DR,81900
" MADISON",1014  HERITAGE DR,77500
" MADISON",1020  HERITAGE DR,95000
" MADISON",1038  HERITAGE DR,75000
" MADISON",1040 HERITAGE  DR,92000
" MADISON",1042  HERITAGE DR,89900
" MADISON",1046  HERITAGE DR,90000
" MADISON",1047  HERITAGE DR,52000
" MADISON",1047 HERITAGE  DR,86500
" MADISON",1065  HERITAGE DR,75000
" MADISON",1066  HERITAGE DR,76500
" MADISON",202  MAYFLOWER LN S,87500
" MADISON",208  MAYFLOWER LN S,80000
" MADISON",309  PLYMOUTH ROCK CT,74900
" MADISON",149  HERITAGE TRACE DR,79900
" MADISON",151  HERITAGE TRACE DR,89500
" MADISON",159  HERITAGE TRACE DR,82500
" MADISON",409 COLUMBUS TRACE  CT,99000
" MADISON",613  COLONY TRACE DR,63000
" MADISON",615  COLONY TRACE DR,77500
" MADISON",615 COLONY TRACE  DR,99900
" MADISON",617  COLONY TRACE DR,76000
" MADISON",268  MAYFLOWER LN N,98500
" MADISON",266  MAYFLOWER LN N,94000
" MADISON",404  COLUMBUS TRACE CT,67000
" MADISON",504  COLONY TRACE CT,76900
" MADISON",162  HERITAGE TRACE DR,88000
" MADISON",134  HERITAGE TRACE DR,63700
" MADISON",132  HERITAGE TRACE DR,71000
" MADISON",506  CHARLES DR,88000
" MADISON",1517  HERITAGE VIEW BLVD,89995
" MADISON",2021  WILLIAMS VALLEY DR,95000
" MADISON",2049  WILLIAMS VALLEY DR,81000
" MADISON",121  WILLIAMS VALLEY CT,95000
" MADISON",116  WILLIAMS VALLEY CT,80000
" MADISON",128  RHINE DR,100000
" MADISON",109  RHINE DR,100000
" MADISON",107  RHINE DR,30000
" MADISON",401 TUCKAHOE  DR,85500
" MADISON",209  W MARTHONA RD,100000
" MADISON",101  PEGGY ST,71500
" MADISON",111 PEGGY  ST,35000
" MADISON",1411  PIERCE RD,50000
" MADISON",107  SARVER AVE,18500
" MADISON",1005  PIERCE RD,35000
" MADISON",1005  PIERCE RD,83000
" MADISON",1201  SYLVIA DR,86500
" MADISON",1208  SYLVIA DR,80000
" MADISON",1311  PIERCE RD,100000
" MADISON",1313  PIERCE RD,83000
" MADISON",1315  PIERCE RD,51800
" MADISON",1309  PIERCE RD,89000
" MADISON",1116  SNOW AVE,59901
" MADISON",1136  PIERCE RD,75000
" MADISON",738  MAY DR,100000
" MADISON",102 CEDARWOOD  LN,99000
" MADISON",111  CEDARWOOD LN,45000
" MADISON",128 CEDARWOOD  LN,90000
" MADISON",134  CEDARWOOD LN,79900
" MADISON",138  CEDARWOOD LN,68500
" MADISON",142  CEDARWOOD LN,64000
" MADISON",143 CEDARWOOD  LN,90000
" MADISON",145  CEDARWOOD LN,70000
" MADISON",204  CEDARWOOD LN,82000
" MADISON",206  CEDARWOOD LN,61000
" MADISON",212  CEDARWOOD LN,87000
" MADISON",215  CEDARWOOD LN,88200
" MADISON",217  CEDARWOOD LN,48500
" MADISON",217 CEDARWOOD  LN,96000
" MADISON",221  CEDARWOOD LN,62000
" MADISON",224  CEDARWOOD LN,95000
" MADISON",226  CEDARWOOD LN,76900
" MADISON",236  CEDARWOOD LN,60000
" MADISON",237  CEDARWOOD LN,62500
" MADISON",241 CEDARWOOD  LN,82800
" MADISON",245 CEDARWOOD  LN,82000
" MADISON",249 CEDARWOOD  LN,80000
" OLD HICKORY",603  KEETON AVE,87684
" OLD HICKORY",605  KEETON AVE,100000
" OLD HICKORY",110  HILLER DR,92000
" OLD HICKORY",601 SWINGING BRIDGE  RD,80000
" OLD HICKORY",348  KEETON AVE,84900
" OLD HICKORY",709 RIVER LANDING  WAY,37500
" OLD HICKORY",713 RIVER LANDING  WAY,32000
" OLD HICKORY",725 RIVER LANDING  WAY,41000
" OLD HICKORY",731  RIVER LANDING WAY,6500
" OLD HICKORY",735  RIVER LANDING WAY,56000
" OLD HICKORY",735  RIVER LANDING WAY,80000
" OLD HICKORY",740  RIVER LANDING WAY,27000
" OLD HICKORY",736  RIVER LANDING WAY,32000
" OLD HICKORY",736  RIVER LANDING WAY,56000
" OLD HICKORY",736  RIVER LANDING WAY,80000
" OLD HICKORY",732  RIVER LANDING WAY,58000
" OLD HICKORY",732  RIVER LANDING WAY,80000
" OLD HICKORY",728  RIVER LANDING WAY,47000
" OLD HICKORY",728  RIVER LANDING WAY,58000
" OLD HICKORY",728  RIVER LANDING WAY,80000
" OLD HICKORY",720  RIVER LANDING WAY,80000
" OLD HICKORY",716  RIVER LANDING WAY,80000
" MADISON",835  BROOKS AVE,47871
" MADISON",819 A  BROOKS AVE,89000
" MADISON",309  ROOSEVELT AVE,65000
" MADISON",705  BIXLER AVE,70000
" MADISON",705  BIXLER AVE,96000
" MADISON",324 ANDERSON  LN,42500
" MADISON",706  BIXLER AVE,96000
" MADISON",422  ANDERSON LN,85000
" MADISON",730  DELAWARE AVE,87500
" MADISON",220  ROOSEVELT AVE,98000
" MADISON",107  GARNER AVE,60000
" MADISON",107  GARNER AVE,80000
" MADISON",637  DELAWARE AVE,95000
" MADISON",644  DELAWARE AVE,41500
" MADISON",503  ANDERSON LN,78375
" MADISON",737  CEDARCREST AVE,75000
" MADISON",811  BIXLER AVE,97000
" MADISON",413  ROOSEVELT AVE,15000
" MADISON",328 ANDERSON  LN,42500
" MADISON",332 ANDERSON  LN,42500
" MADISON",336  ANDERSON LN,25000
" MADISON",336  ANDERSON LN,40800
" MADISON",0 ANDERSON  LN,55000
" MADISON",0 ANDERSON  LN,55000
" MADISON",300  MAY DR,75000
" MADISON",318  MAY DR,13644
" MADISON",608  FARVIEW DR,81000
" MADISON",508  FEDDERS DR,100000
" MADISON",516  ROOSEVELT AVE,40000
" MADISON",254  BECKLEA DR,95000
" MADISON",262  BECKLEA DR,85000
" MADISON",550 ROOSEVELT  AVE,85000
" MADISON",230  MAY DR,84050
" MADISON",202  BECKLEA DR,49000
" MADISON",552  SINGER DR,84900
" MADISON",649  ROOSEVELT AVE,59000
" MADISON",308  SCALF DR,39000
" MADISON",325 MCARTHUR  DR,85000
" MADISON",304  MYATT DR,64355
" MADISON",316  MYATT DR,32000
" MADISON",305  MYATT DR,76000
" MADISON",313  ARCHWOOD DR,87900
" MADISON",309  ARCHWOOD DR,85000
" MADISON",810  ANDERSON LN,65200
" MADISON",925  ANDERSON LN,60000
" MADISON",927  ANDERSON LN,60000
" OLD HICKORY",113  SHELBY ST,18000
" MADISON",240  WILEY ST,44000
" MADISON",242  WILEY ST,77000
" MADISON",313  LOVELL ST,60750
" MADISON",213 B  LOVELL ST,55000
" MADISON",213  LOVELL ST,55000
" MADISON",205  LOVELL ST,19000
" MADISON",205  CUMBERLAND AVE,80000
" MADISON",619  DELAWARE AVE,95000
" MADISON",411  CUMBERLAND AVE,45500
" MADISON",0  DELAWARE AVE,11000
" MADISON",0  DELAWARE AVE,50000
" MADISON",624  DELAWARE AVE,50000
" MADISON",501  CUMBERLAND AVE,40000
" MADISON",216  CUMBERLAND AVE,62500
" MADISON",220  CUMBERLAND AVE,72000
" MADISON",322  CUMBERLAND AVE,62000
" MADISON",403 DUPONT  AVE,35500
" MADISON",509  DUPONT AVE,78000
" MADISON",242  DUPONT AVE,85000
" MADISON",259  DULING AVE,55000
" MADISON",344  THELMA ST,78900
" MADISON",246  DULING AVE,95000
" MADISON",309  KATE ST,74000
" MADISON",311  KATE ST,93900
" MADISON",0  KATE ST,93900
" MADISON",405  DELAWARE AVE,84500
" MADISON",404  DELAWARE AVE,65000
" MADISON",400  DELAWARE AVE,65500
" MADISON",509  CUMBERLAND AVE,65500
" MADISON",207 A  NIX DR,72000
" MADISON",205  NIX DR,40000
" MADISON",245  BECKLEA DR,86900
" MADISON",226 MAY  DR,92000
" MADISON",555  N DUPONT AVE,28000
" MADISON",555 N DUPONT  AVE,38400
" MADISON",555  N DUPONT AVE,48500
" MADISON",555  N DUPONT AVE,48000
" MADISON",555  N DUPONT AVE,48000
" MADISON",555  N DUPONT AVE,28500
" MADISON",555  N DUPONT AVE,25000
" MADISON",555  N DUPONT AVE,24000
" MADISON",555  N DUPONT AVE,40000
" MADISON",555  N DUPONT AVE,50000
" MADISON",555 N DUPONT  AVE,59900
" MADISON",555 N DUPONT  AVE,47500
" MADISON",555 N DUPONT  AVE,62500
" MADISON",555 N DUPONT  AVE,48000
" MADISON",555  N DUPONT AVE,88000
" MADISON",555  N DUPONT AVE,51000
" MADISON",555  N DUPONT AVE,37500
" MADISON",555  N DUPONT AVE,88000
" MADISON",555  N DUPONT AVE,46000
" MADISON",555  N DUPONT AVE,45000
" MADISON",555  N DUPONT AVE,40000
" MADISON",555  N DUPONT AVE,45000
" MADISON",555  N DUPONT AVE,35000
" MADISON",555  N DUPONT AVE,41000
